time,readable_time,acceleration,acceleration_x,acceleration_y,acceleration_z,battery,humidity,pressure,temperature,dev-id
1523318279713,2018-04-09T23:57:59.713000Z,1012.2687390214122,-76,324,956,3001,20,1011.93,29.05,C2:9A:9F:E5:58:27
1523318259603,2018-04-09T23:57:39.602999Z,1016.3542689436592,-80,324,960,3007,20,1011.97,29.05,C2:9A:9F:E5:58:27
1523318264593,2018-04-09T23:57:44.592999Z,1002.4769324029356,-80,316,948,2995,20,1011.96,29.05,C2:9A:9F:E5:58:27
1523318269603,2018-04-09T23:57:49.602999Z,1011.6283902698658,-84,320,956,3007,20,1012.04,29.05,C2:9A:9F:E5:58:27
1523318274656,2018-04-09T23:57:54.655999Z,1010.9955489516262,-76,320,956,3007,20,1011.96,29.05,C2:9A:9F:E5:58:27
1523318279713,2018-04-09T23:57:59.713000Z,1012.2687390214122,-76,324,956,3001,20,1011.93,29.05,C2:9A:9F:E5:58:27
1523318259603,2018-04-09T23:57:39.602999Z,1016.3542689436592,-80,324,960,3007,20,1011.97,29.05,C2:9A:9F:E5:58:27
1523318264593,2018-04-09T23:57:44.592999Z,1002.4769324029356,-80,316,948,2995,20,1011.96,29.05,C2:9A:9F:E5:58:27
1523318269603,2018-04-09T23:57:49.602999Z,1011.6283902698658,-84,320,956,3007,20,1012.04,29.05,C2:9A:9F:E5:58:27
1523318274656,2018-04-09T23:57:54.655999Z,1010.9955489516262,-76,320,956,3007,20,1011.96,29.05,C2:9A:9F:E5:58:27
1523318279713,2018-04-09T23:57:59.713000Z,1012.2687390214122,-76,324,956,3001,20,1011.93,29.05,C2:9A:9F:E5:58:27
